studies,country,Dignostic_method,Tryp_type,Year,study ID
Detection of Trypanosoma evansi in camels using PCR and CATT/T. evansi tests in Kenya, Kenya ," card agglutination test ', 'CATT', 'polymerase chain reaction', 'PCR', 'CATT/T evansi', 'microhaematocrit centrifugation technique', 'MHCT "," T. evansi', 'Trypanosoma evansi', 'Trypanosoma ",2019,"(Noori et al., 2019)"
"Seroprevalence of Neospora caninum Infection and Associated Risk Factors in Cattle of Sistan Areas, Southeastern Iran in 2016"," France', 'Iran ", ELISA ,bovine,2019,"(Northover et al., 2019)"
Increased Trypanosoma spp. richness and prevalence of haemoparasite co-infection following translocation, Australia , NA ,Trypanosoma,2016,"(Nunes et al., 2016)"
"Leishmania infantum INFECTION IN DOGS FROM THE SOUTHERN REGION OF MINAS GERAIS STATE, BRAZIL", NA ," enzyme-linked immunosorbent assay', 'ELISA', 'qPCR', 'IFAT', 'IFA', 'polymerase chain reaction', 'DPP', 'PCR "," Leishmania infantum', 'Leishmania ",2019,"(Nurcahyo et al., 2019)"
"The prevalence of horse trypanosomiasis in Sumba Island, Indonesia and its detection using card agglutination tests", Indonesia ," smears', 'CATT "," T. evansi', 'Trypanosoma evansi', 'Trypanosoma ",2014,"(Oakgrove et al., 2014)"
"Distribution, diversity and drivers of blood-borne parasite co-infections in Alaskan bird populations", Australia , NA ,Trypanosoma,2012,"(Ocampo et al., 2012)"
Environmental factors associated with American cutaneous leishmaniasis in a new Andean focus in Colombia, Colombia , NA ,Leishmania,2019,"(Odeniran et al., 2019)"
"Molecular identification of bloodmeal sources and trypanosomes in Glossina spp., Tabanus spp. and Stomoxys spp. trapped on cattle farm settlements in southwest Nigeria"," Niger', 'Nigeria ", NA ," Trypanosoma congolense', 'Trypanosoma evansi', 'Trypanosoma vivax', 'Trypanosoma godfreyi', 'Trypanosoma brucei', 'Trypanosoma simiae', 'bovine', 'Trypanosoma ",2019,"(Odeniran et al., 2019)"
Molecular identification of bovine trypanosomes in relation to cattle sources in southwest Nigeria," Niger', 'Nigeria "," polymerase chain reaction', 'PCR "," T. evansi', 'T. congolense', 'T. vivax', 'Trypanosoma vivax', 'Trypanosoma brucei', 'Trypanosoma brucei gambiense', 'bovine', 'Trypanosoma ",2016,"(Odongo et al., 2016)"
"Comparative evaluation of the nested ITS PCR against the 18S PCR-RFLP in a survey of bovine trypanosomiasis in Kwale County, Kenya", Kenya ," PCR-RFLP', 'PCR-RFLP ', 'PCR "," Trypanosoma congolense', 'Trypanosoma vivax', 'Trypanosoma simiae', 'bovine', 'Trypanosoma ",2007,"(Ohaga et al., 2007)"
"Livestock farmers' perception and epidemiology of bovine trypanosomosis in Kwale District, Kenya", Kenya , NA ," Trypanosoma congolense', 'bovine trypanosomosis', 'Trypanosomosis', 'bovine', 'Trypanosoma ",2018,"(Oleaga et al., 2018)"
Leishmania in wolves in northern Spain: A spreading zoonosis evidenced by wildlife sanitary surveillance, Spain , PCR ," Leishmania infantum', 'L. infantum', 'Leishmania ",2005,"(Oliveira et al., 2005)"
PCR-based diagnosis for detection of Leishmania in skin and blood of rodents from an endemic area of cutaneous and visceral leishmaniasis in Brazil, Brazil ," polymerase chain reaction', 'PCR "," Leishmania spp ', 'L. mexicana', 'Leishmania ",2015,"(Oliveira et al., 2015)"
Antibodies to Leishmania spp. in domestic felines, Brazil ," direct agglutination test', 'DAT', 'IFA "," Leishmania spp.', 'Leishmania ",2009,"(Oliveira et al., 2009)"
First report of Trypanosoma vivax infection in dairy cattle from Costa Rica, Costa Rica , smears ," T. vivax', 'Trypanosoma vivax', 'Trypanosoma ",2016,"(Oliveira et al., 2016)"
"Diagnosis and epidemiology of canine leishmaniasis in southeastern Bahia, Brazil", Brazil , NA ,NA,2006,"(Oliveira-Pereira et al., 2006)"
"Molecular diagnosis of the natural infection rate due to Leishmania sp in sandflies (Psychodidae, Lutzomyia) in the Amazon region of Maranhao, Brazil", Brazil , polymerase chain reaction ,Leishmania,2017,"(Onyekwelu et al., 2017)"
Molecular identification of trypanosomes in tsetse flies trapped from Onicha Ugbo in Delta state of Nigeria," Niger', 'Nigeria ", NA ," Trypanosoma congolense', 'Trypanosoma vivax', 'Trypanosoma brucei', 'Trypanosoma brucei brucei', 'Trypanosoma simiae', 'Trypanosoma ",2008,"(Opara et al., 2008)"
Hematological and Plasma Biochemistry of the Adult Wild African Grasscutter (Thryonomys swinderianus) A Zoonosis Factor in the Tropical Humid Rain Forest of Southeast Nigeria," Niger', 'Nigeria ", NA ,Trypanosoma,2018,"(Orantes et al., 2018)"
"Uncovering vector, parasite, blood meal and microbiome patterns from mixed-DNA specimens of the Chagas disease vector Triatoma dimidiata", Guatemala ," DTUs', 'PCR "," T. cruzi', 'Trypanosoma ",2016,"(Orozco et al., 2016)"
A comparative study of Trypanosoma cruzi infection in sylvatic mammals from a protected and a disturbed area in the Argentine Chaco, NA ," xenodiagnosis', 'PCR "," T. cruzi', 'Trypanosoma ",2009,"(Oshaghi et al., 2009)"
Vector Incrimination of Sand Flies in the Most Important Visceral Leishmaniasis Focus in Iran, Iran ," enzyme-linked immunosorbent assay', 'ELISA', 'polymerase chain reaction', 'PCR "," L. infantum', 'Leishmania spp.', 'Leishmania ",2017,"(Otranto et al., 2017)"
Feline and canine leishmaniosis and other vector-borne diseases in the Aeolian Islands: Pathogen and vector circulation in a confined environment," Greece', 'Spain "," IFAT', 'IFA "," Leishmania infantum', 'L. infantum', 'Leishmania ",Na,"(Otranto et al., Na)"
Diagnosis of Canine Vector-Borne Diseases in Young Dogs: a Longitudinal Study, Italy ," buffy coat ', 'PCR "," Leishmania infantum', 'L. infantum', 'Leishmania ",2008,"(Otterstatter & Thomson, 2008)"
Does Pathogen Spillover from Commercially Reared Bumble Bees Threaten Wild Pollinators?, NA , NA ," C. bombi ', 'Crithidia bombi ",2003,"(Oura et al., 2003)"
A panel of microsatellite and minisatellite markers for the characterisation of field isolates of Theileria parva," Australia', 'Kenya', 'Uganda', 'Zambia', 'Zimbabwe ", PCR ,NA,2001,"(Owens et al., 2001)"
Transmission of visceral leishmaniasis through blood transfusions from infected English Foxhounds to anemic dogs, NA , indirect fluorescent antibody test ," Leishmania spp ', 'Leishmania ",2003,"(Oyieke, 2003)"
Occurrence and transmission of camel trypanosomiasis in northern Kenya, Kenya , ELISA ," Trypanosoma evansi', 'Trypanosoma ",2000,"(Ozbel et al., 2000)"
"A survey on canine leishmaniasis in western Turkey by parasite, DNA and antibody detection assays", Turkey ," direct agglutination test', 'DAT', 'IFAT', 'IFA', 'polymerase chain reaction', 'microscopy', 'PCR "," Leishmania infantum', 'Leishmania ",2002,"(Padilla et al., 2002)"
"Canine infection and the possible role of dogs in the transmission of American tegumentary leishmaniosis in Salta, Argentina", Argentina ," ELISA', 'microscopic', 'microscopy "," Leishmania infantum', 'Leishmania spp.', 'Leishmania', 'Trypanosoma ",2002,"(Paige et al., 2002)"
Prevalence and incidence density of Mycobacterium leprae and Trypanosoma cruzi infections within a population of wild nine-banded armadillos, NA , NA ," T. cruzi', 'Trypanosoma ",2015,"(Paiz et al., 2015)"
"Serological Evidence of Infection by Leishmania (Leishmania) infantum (Synonym: Leishmania (Leishmania) chagasi) in Free-Ranging Wild Mammals in a Nonendemic Region of the State of Sao Paulo, Brazil", Brazil ," direct agglutination test', 'DAT "," Leishmania spp.', 'Leishmania ",2017,"(Palangar et al., 2017)"
MOLECULAR STUDY OF CUTANEOUS LEISHMANIASIS HUMAN RESERVOIRS AND INFECTIONS IN BASTAK, Iran ," microscopic', 'PCR "," L. major', 'Leishmania ",2017,"(Panti-May et al., 2017)"
"A survey of zoonotic pathogens carried by house mouse and black rat populations in Yucatan, Mexico", Mexico , polymerase chain reaction ," T. cruzi', 'Trypanosoma ",2018,"(Paoletta et al., 2018)"
"Epidemiology of Babesia, Anaplasma and Trypanosoma species using a new expanded reverse line blot hybridization assay", Argentina , NA ," T. vivax', 'bovine', 'Trypanosoma ",2005,"(Papadopoulou et al., 2005)"
Human and canine leishmaniasis in asymptomatic and symptomatic population in Northwestern Greece, Greece , IFA ," Leishmania infantum', 'Leishmania ",2016,"(Papatsiros et al., 2016)"
Cross-Sectional Serosurvey and Risk Factors Associated with the Presence of Toxoplasma gondii Antibodies in Pigs in Greece, Greece ," enzyme-linked immunosorbent assay', 'indirect fluorescent antibody test ",NA,2006,"(Paradies et al., 2006)"
Incidences of canine leishmaniasis in an endemic area of southern Italy, Italy , NA ," Leishmania infantum', 'Leishmania ",2018,"(Parashar et al., 2018)"
Unraveling cryptic epizootiology of equid trypanosomosis in Punjab state of India by parasitological and sero-molecular techniques, India ," ELISA', 'smears', 'card agglutination test ', 'CATT', 'LAMP', 'polymerase chain reaction', 'PCR "," T. evansi', 'Trypanosoma evansi', 'Trypanosoma ",2011,"(Parrado et al., 2011)"
"Prevalence of Leishmania spp. infection in domestic dogs in Chapare, Bolivia", Bolivia , ELISA ," Leishmania spp.', 'Leishmania ",2018,"(Parsche & Lattorff, 2018)"
The relative contributions of host density and genetic diversity on prevalence of a multi-host parasite in bumblebees, Germany , NA ," C. bombi ', 'Crithidia bombi', 'Trypanosoma ",2013,"(Parvizi et al., 2013)"
Occurrence of low density of Leishmania infantum in sandflies from a new focus of visceral leishmaniasis in northwest of Iran," Azerbaijan', 'Iran "," nested PCR', 'PCR', 'ITS1 "," Leishmania infantum', 'L. infantum', 'Leishmania ",2015,"(Pasa et al., 2015)"
Detection of Leishmania major and Leishmania tropica in domestic cats in the Ege Region of Turkey, Turkey ," ELISA', 'RT-PCR', 'polymerase chain reaction', 'PCR', 'ITS1 "," Leishmania spp.', 'L. tropica', 'L. major', 'Leishmania major', 'Leishmania tropica', 'Leishmania ",Na,"(Pasos-Pinto et al., Na)"
Genetic Diversity and Prevalence of Leishmania mexicana in Bichromomyia olmeca olmeca 1 in an Endemic Area of Mexico, Mexico , NA ,Leishmania,2013,"(Paternina-Gomez et al., 2013)"
High prevalence of infection with Leishmania (Kinetoplastea: Trypanosomatidae) in dogs in northern Colombia, Colombia , PCR ," Leishmania infantum', 'Leishmania', 'Trypanosoma ",2010,"(Paz et al., 2010)"
Association between the prevalence of infestation by Rhipicephalus sanguineus and Ctenocephalides felis felis and the presence of anti-Leishmania antibodies: A case-control study in dogs from a Brazilian endemic area, Brazil ," ELISA', 'IFAT', 'IFA ",Leishmania,2019,"(Pereira et al., 2019)"
Antibody response to Phlebotomus perniciosus saliva in cats naturally exposed to phlebotomine sand flies is positively associated with Leishmania infection, NA , NA ," Leishmania infantum', 'L. infantum', 'Leishmania spp.', 'Leishmania ",2015,"(Pereira et al., 2015)"
"Ecological aspects and molecular detection of Leishmania DNA Ross (Kinetoplastida: Trypanosomatidae) in phlebotomine sandflies (Diptera: Psychodidae) in terra firme and varzea environments in the Middle Solim(o)over-tildees Region, Amazonas State, Brazil", Brazil ," PCR-RFLP', 'PCR-RFLP ', 'PCR "," Leishmania', 'Trypanosoma ",2018,"(Pereira et al., 2018)"
"Clinical and epidemiological aspects and diagnosis of Trypanosoma vivax infection in a cattle herd, state of Maranhao, Brazil", Brazil ," smears', 'PCR "," T. vivax', 'Trypanosoma vivax', 'Trypanosoma ",2016,"(Perez et al., 2016)"
"PREVALENCE OF AMERICAN TRYPANOSOMIASIS AND LEISHMANIASES IN DOMESTIC DOGS IN A RURAL AREA OF THE MUNICIPALITY OF SAO JOAO DO PIAUI, PIAUI STATE, BRAZIL", Brazil ," ELISA', 'xenodiagnosis', 'IFA', 'DPP "," Leishmania spp.', 'T. cruzi', 'Leishmania', 'Trypanosoma ",2016,"(Piantedosi et al., 2016)"
Epidemiological survey on Leishmania infection in red foxes (Vulpes vulpes) and hunting dogs sharing the same rural area in Southern Italy, Italy ," IFAT', 'nested PCR', 'IFA', 'PCR "," L. infantum', 'Leishmania ",2011,"(Pineda et al., 2011)"
"Prevalence of trypanosome infections in dogs from Chagas disease endemic regions in Panama, Central America", Panama ," cultures', 'PCR "," T. cruzi', 'Trypanosoma ",2006,"(Pinto et al., 2006)"
Infection by trypanosomes in marsupials and rodents associated with human dwellings in Ecuador, Ecuador ," polymerase chain reaction', 'microscopy', 'PCR "," T. cruzi', 'Trypanosoma ",2015,"(Pinto et al., 2015)"
"Bats, Trypanosomes, and Triatomines in Ecuador: New Insights into the Diversity, Transmission, and Origins of Trypanosoma cruzi and Chagas Disease", Ecuador ," microscopy', 'PCR "," T. cruzi', 'Trypanosoma ",2017,"(Plischuk et al., 2017)"
Long-term prevalence of the protists Crithidia bombi and Apicystis bombi and detection of the microsporidium Nosema bombi in invasive bumble bees, Argentina , NA ," C. bombi ', 'Crithidia bombi ",2009,"(Plischuk & Lange, 2009)"
Invasive Bombus terrestris (Hymenoptera: Apidae) parasitized by a flagellate (Euglenozoa: Kinetoplastea) and a neogregarine (Apicomplexa: Neogregarinorida)," Argentina', 'Chile ", NA ,Crithidia bombi,2004,"(Podlipaev et al., 2004)"
Diversity of insect trypanosomatids assessed from the spliced leader RNA and 5S rRNA genes and intergenic regions, Egypt , NA ,NA,2012,"(Popp et al., 2012)"
"Seasonal variability of prevalence and occurrence of multiple infections shape the population structure of Crithidia bombi, an intestinal parasite of bumblebees (Bombus spp.)", NA , NA ," C. bombi ', 'Crithidia bombi ",2018,"(Prados et al., 2018)"
Results of a monitoring program of pesticide residues in Beebread in Spain. Using Toxic unit approach to identify scenarios of risk for management programs," Israel', 'Spain ", PCR ,Trypanosoma,2018,"(Praet et al., 2018)"
Large-scale cultivation of the bumblebee gut microbiota reveals an underestimated bacterial species diversity capable of pathogen inhibition, NA , NA ,Crithidia bombi,2019,"(Qiu et al., 2019)"
Molecular characterization and phylogenetic analysis of Trypanosoma spp. detected from striped leaf-nosed bats (Hipposideros vittatus) in Zambia, Zambia , cultures ,Trypanosoma,2011,"(Quintal et al., 2011)"
Leishmania spp. in Didelphis albiventris and Micoureus paraguayanus (Didelphimorphia: Didelphidae) of Brazil, Brazil ," qPCR', 'polymerase chain reaction', 'PCR "," Leishmania spp.', 'Leishmania ",2003,"(Rami et al., 2003)"
Canine leishmaniasis in the Rif mountains (Moroccan Mediterranean coast): Sero-epidemiological survey, Morocco ," enzyme-linked immunosorbent assay', 'ELISA', 'indirect fluorescent antibody test', 'IFAT', 'IFA "," Leishmania infantum', 'L. infantum', 'Leishmania ",2002,"(Ramirez et al., 2002)"
High prevalence of Trypanosoma rangeli and Trypanosoma cruzi in opossums and triatomids in a formerly-endemic area of Chagas disease in Southeast Brazil, Brazil ," cultures', 'PCR ",Trypanosoma,2012,"(Ramsey et al., 2012)"
Ecological Connectivity of Trypanosoma cruzi Reservoirs and Triatoma pallidipennis Hosts in an Anthropogenic Landscape with Endemic Chagas Disease, NA , NA ," T. cruzi', 'Trypanosoma ",2019,"(Rangel et al., 2019)"
"Isolation and characterization of trypanosomatids, including Crithidia mellificae, in bats from the Atlantic Forest of Rio de Janeiro, Brazil", Brazil ," DTUs', 'nested PCR', 'PCR "," T. cruzi', 'Crithidia mellificae', 'Trypanosoma ",2007,"(Rassi et al., 2007)"
The Seminested PCR Based Detection of Leishmania infantum Infection in Asymptomatic Dogs in a New Endemic Focus of Visceral Leishmaniasis in Iran, Iran ," nested PCR', 'PCR "," Leishmania infantum', 'L. infantum', 'Leishmania ",2015,"(Ravel et al., 2015)"
A study on African animal trypanosomosis in four areas of Senegal, Senegal , PCR ," T. congolense', 'Trypanosoma congolense', 'Trypanosoma vivax', 'Trypanosoma ",2015,"(Ravoet et al., 2015)"
Differential diagnosis of the honey bee trypanosomatids Crithidia mellificae and Lotmaria passim," Belgium', 'Japan', 'Switzerland "," cultures', 'ITS1 "," Crithidia bombi', 'Crithidia mellificae', 'Lotmaria passim', 'Trypanosoma ",2012,"(Razzaghi Maensh et al., 2012)"
Prevalence of canine visceral leishmaniasis in dogs at Adrestan district detected by PCR, NA ," DAT', 'PCR ",L. infantum,2010,"(Readel & Goldberg, 2010)"
Blood Parasites of Frogs From an Equatorial African Montane Forest in Western Uganda, Uganda , NA ,Trypanosoma,2000,"(Reid & Copeman, 2000)"
Surveys in Papua New Guinea to detect the presence of Trypanosoma evansi infection," Guinea', 'Papua New Guinea "," ELISA', 'card agglutination test ', 'CATT "," Trypanosoma evansi', 'bovine', 'Trypanosoma ",2003,"(Reithinger et al., 2003)"
